own_army_size,own_training_level,own_equipment_prestige,own_supplies,own_morale,own_fatigue,own_commander_skill,own_command_efficiency,own_technology_level,enemy_army_size,enemy_training_level,enemy_equipment_prestige,enemy_supplies,enemy_morale,enemy_fatigue,enemy_commander_skill,enemy_command_efficiency,enemy_technology_level,army_size_ratio (enemy/own),training_level_ratio (enemy/own),equipment_prestige_ratio (enemy/own),supplies_ratio (enemy/own),morale_ratio (enemy/own),fatigue_ratio (enemy/own),commander_skill_ratio (enemy/own),command_efficiency_ratio (enemy/own),technology_level_ratio (enemy/own),weather_condition,visibility,time_of_day,own_strategic_posture,enemy_strategic_posture,surprise_ambush_factor,home_territory_advantage,win_chance_%
5590,5.37,8.81,1486,3.32,1.59,9.31,7.48,7.59,6194,2.63,9.79,220,6.2,10.08,4.38,1.85,11.89,1.108,0.49,1.111,0.148,1.867,6.34,0.47,0.247,1.567,Cloudy,Low,Morning,Attack,Defend,Full Ambush,No,99.0
1418,4.09,5.71,2074,5.55,7.01,2.68,4.16,6.16,6768,10.9,5.97,5738,4.34,10.58,1.7,0.86,5.53,4.773,2.665,1.046,2.767,0.782,1.509,0.634,0.207,0.898,Cloudy,Good,Morning,Defend,Defend,Partial,No,5.6
4779,4.77,9.21,3261,4.52,4.11,5.42,7.62,7.16,2766,4.12,3.51,6476,4.73,5.1,5.06,11.82,6.83,0.579,0.864,0.381,1.986,1.046,1.241,0.934,1.551,0.954,Cloudy,Very Low,Midday,Attack,Defend,None,Yes,91.9
7684,9.36,8.6,122,6.75,5.52,2.39,1.77,6.61,13273,0.89,5.83,529,11.98,9.13,7.25,8.6,1.69,1.727,0.095,0.678,4.336,1.775,1.654,3.033,4.859,0.256,Clear,Good,Afternoon,Attack,Attack,Partial,Yes,80.3
3802,9.2,7.58,4282,5.63,2.95,7.35,2.79,8.29,4528,0.7,9.57,5892,7.19,7.89,4.02,10.53,4.26,1.191,0.076,1.263,1.376,1.277,2.675,0.547,3.774,0.514,Clear,Moderate,Afternoon,Attack,Defend,None,Yes,99.0
6817,7.44,7.61,473,2.65,2.44,8.49,8.9,9.05,11427,11.26,8.06,3124,6.47,11.04,7.2,0.54,10.99,1.676,1.513,1.059,6.605,2.442,4.525,0.848,0.061,1.214,Rain,Good,Dusk,Attack,Attack,None,No,10.5
8057,8.96,1.95,4513,8.29,3.19,4.51,3.64,5.04,1329,4.78,2.08,1288,5.36,10.47,10.98,9.76,8.55,0.165,0.533,1.067,0.285,0.647,3.282,2.435,2.681,1.696,Fog,Very Low,Afternoon,Defend,Attack,Partial,Yes,99.0
9308,3.88,3.44,4752,5.25,1.64,4.57,2.85,4.53,645,7.64,8.45,2735,9.44,3.34,5.12,11.24,1.25,0.069,1.969,2.456,0.576,1.798,2.037,1.12,3.944,0.276,Rain,Moderate,Night,Attack,Defend,None,Yes,99.0
2729,4.43,1.6,4952,2.38,3.5,2.83,1.8,3.18,14933,5.26,10.08,6068,8.81,4.45,11.33,2.97,8.7,5.472,1.187,6.3,1.225,3.702,1.271,4.004,1.65,2.736,Storm,Good,Morning,Attack,Attack,Full Ambush,No,1.6
4294,6.52,1.08,4067,2.5,7.21,3.76,4.54,8.32,2021,2.95,2.23,899,7.91,3.66,10.39,3.79,5.78,0.471,0.452,2.065,0.221,3.164,0.508,2.763,0.835,0.695,Clear,Low,Midday,Attack,Attack,None,Yes,90.5
1948,6.61,2.42,795,8.17,6.86,3.92,1.6,9.7,11535,10.59,1.21,735,2.51,6.46,0.75,7.35,10.01,5.921,1.602,0.5,0.925,0.307,0.942,0.191,4.594,1.032,Clear,Moderate,Night,Attack,Defend,None,Yes,36.4
9929,5.34,8.92,3560,7.33,5.99,2.4,5.47,2.76,9147,11.42,1.15,6762,1.87,1.27,8.19,2.43,7.09,0.921,2.139,0.129,1.899,0.255,0.212,3.412,0.444,2.569,Cloudy,Very Low,Morning,Attack,Attack,None,Yes,36.5
9307,4.61,3.16,1096,5.56,1.0,3.79,9.27,5.12,6904,11.86,0.76,2090,6.15,4.65,4.41,0.85,11.92,0.742,2.573,0.241,1.907,1.106,4.65,1.164,0.092,2.328,Rain,Very Low,Morning,Attack,Defend,Full Ambush,No,98.8
5630,9.88,9.73,4496,3.75,2.13,9.17,8.08,7.93,746,0.98,0.71,6036,9.69,11.13,3.43,9.43,4.16,0.133,0.099,0.073,1.343,2.584,5.225,0.374,1.167,0.525,Cloudy,Low,Afternoon,Defend,Attack,None,No,99.0
8499,8.39,6.38,1651,5.14,8.59,3.93,1.37,6.72,5064,1.08,9.76,3952,1.3,9.31,8.98,9.89,8.86,0.596,0.129,1.53,2.394,0.253,1.084,2.285,7.219,1.318,Cloudy,Excellent,Dusk,Attack,Defend,None,Yes,91.9
5449,4.91,3.14,1701,6.73,3.45,3.47,3.7,8.34,13521,10.37,9.0,1721,10.82,4.31,8.88,7.46,4.29,2.481,2.112,2.866,1.012,1.608,1.249,2.559,2.016,0.514,Cloudy,Excellent,Morning,Defend,Attack,Partial,Yes,1.3
6424,7.55,5.47,4597,8.91,9.21,4.46,2.69,1.15,13596,2.53,11.33,2100,10.27,5.57,8.41,5.76,6.16,2.116,0.335,2.071,0.457,1.153,0.605,1.886,2.141,5.357,Cloudy,Low,Morning,Attack,Attack,None,No,4.7
1347,3.43,2.97,165,6.0,8.87,9.64,1.6,9.2,9076,6.96,4.59,2913,2.87,8.68,0.94,7.2,10.42,6.738,2.029,1.545,17.655,0.478,0.979,0.098,4.5,1.133,Clear,Good,Midday,Attack,Attack,None,Yes,4.1
7675,1.9,9.86,1050,3.49,2.39,7.88,1.98,1.55,8705,7.17,8.65,1089,5.23,11.22,7.32,5.1,6.62,1.134,3.774,0.877,1.037,1.499,4.695,0.929,2.576,4.271,Rain,Good,Dusk,Defend,Defend,Partial,No,8.1
1713,4.17,8.63,2167,1.38,9.08,2.82,9.17,5.01,6499,8.11,5.23,4984,1.21,9.38,7.35,3.48,7.72,3.794,1.945,0.606,2.3,0.877,1.033,2.606,0.379,1.541,Clear,Good,Midday,Attack,Defend,Partial,Yes,20.3
8348,4.63,1.24,3534,2.58,6.65,7.77,3.79,3.48,11678,0.93,6.94,2953,1.03,11.77,11.62,1.58,9.44,1.399,0.201,5.597,0.836,0.399,1.77,1.495,0.417,2.713,Clear,Good,Afternoon,Attack,Defend,None,No,87.1
7929,1.15,9.53,3273,6.85,6.67,7.9,4.53,9.35,13268,4.05,5.55,6230,5.29,11.91,9.47,3.72,9.17,1.673,3.522,0.582,1.903,0.772,1.786,1.199,0.821,0.981,Fog,Moderate,Afternoon,Attack,Attack,Partial,No,8.2
7233,8.33,7.49,3380,2.44,8.67,9.55,5.37,3.48,10967,6.41,5.28,6414,4.26,2.71,4.65,6.83,9.98,1.516,0.77,0.705,1.898,1.746,0.313,0.487,1.272,2.868,Rain,Low,Dusk,Defend,Defend,Partial,No,7.5
844,4.23,1.74,4412,5.33,4.65,9.02,7.7,4.36,7974,2.51,3.32,6400,9.77,0.8,7.83,0.8,7.18,9.448,0.593,1.908,1.451,1.833,0.172,0.868,0.104,1.647,Cloudy,Low,Night,Defend,Attack,Partial,Yes,3.2
3380,6.22,7.04,693,7.29,7.62,1.86,8.19,9.0,9592,11.36,7.18,4563,3.64,10.13,10.74,10.29,6.79,2.838,1.826,1.02,6.584,0.499,1.329,5.774,1.256,0.754,Cloudy,Moderate,Afternoon,Attack,Attack,None,No,1.1
3000,1.67,6.82,2659,3.77,7.01,5.09,9.67,5.84,3452,10.03,3.51,3359,9.48,10.76,9.86,6.32,10.71,1.151,6.006,0.515,1.263,2.515,1.535,1.937,0.654,1.834,Cloudy,Low,Night,Defend,Defend,None,No,3.0
3921,2.57,2.97,3655,7.02,7.94,7.33,2.9,9.08,14870,2.1,2.11,636,4.01,5.72,5.49,7.08,11.13,3.792,0.817,0.71,0.174,0.571,0.72,0.749,2.441,1.226,Fog,Excellent,Morning,Attack,Defend,None,No,68.9
1333,9.01,7.83,3217,6.23,6.94,9.76,3.71,6.95,14051,8.22,9.12,5301,6.86,1.24,11.14,3.39,1.99,10.541,0.912,1.165,1.648,1.101,0.179,1.141,0.914,0.286,Cloudy,Good,Midday,Defend,Attack,Full Ambush,Yes,2.1
9401,6.48,1.78,2297,4.95,1.72,1.77,3.82,1.71,14358,5.22,7.93,669,10.32,2.46,11.7,11.91,5.67,1.527,0.806,4.455,0.291,2.085,1.43,6.61,3.118,3.316,Clear,Good,Dusk,Attack,Defend,None,Yes,3.3
5761,9.55,5.41,184,9.08,3.63,4.31,5.01,4.91,2669,4.08,3.87,1318,2.38,1.83,9.34,5.51,1.14,0.463,0.427,0.715,7.163,0.262,0.504,2.167,1.1,0.232,Cloudy,Moderate,Night,Attack,Defend,Partial,Yes,97.5
3402,9.99,1.09,396,7.23,9.46,5.43,8.27,2.59,9861,3.85,7.75,5907,4.52,2.54,2.52,2.85,2.05,2.899,0.385,7.11,14.917,0.625,0.268,0.464,0.345,0.792,Clear,Low,Morning,Attack,Defend,Partial,Yes,7.4
4271,4.35,9.72,683,4.25,3.01,4.72,3.16,1.59,9914,8.12,0.8,5983,8.84,1.44,9.09,11.47,3.69,2.321,1.867,0.082,8.76,2.08,0.478,1.926,3.63,2.321,Rain,Good,Dawn,Defend,Attack,None,Yes,1.3
4748,3.69,7.76,1782,8.24,5.25,5.1,8.05,4.36,5455,10.89,11.87,3071,2.91,1.84,5.13,0.62,4.11,1.149,2.951,1.53,1.723,0.353,0.35,1.006,0.077,0.943,Storm,Good,Morning,Defend,Defend,None,Yes,27.5
6206,8.73,2.43,677,7.64,4.21,4.32,2.84,9.18,13005,10.12,2.5,5054,1.3,8.63,3.31,11.56,7.37,2.096,1.159,1.029,7.465,0.17,2.05,0.766,4.07,0.803,Clear,Good,Dusk,Attack,Defend,Partial,Yes,46.7
5399,9.99,4.08,2188,8.13,1.78,9.74,7.39,2.06,11779,4.51,11.33,1580,11.76,0.88,1.82,4.15,6.61,2.182,0.451,2.777,0.722,1.446,0.494,0.187,0.562,3.209,Rain,Moderate,Night,Attack,Attack,Full Ambush,Yes,72.2
9234,6.67,2.45,975,6.77,2.63,8.23,8.19,1.06,10850,8.64,1.29,6282,4.48,10.44,1.67,9.05,1.11,1.175,1.295,0.527,6.443,0.662,3.97,0.203,1.105,1.047,Cloudy,Good,Midday,Attack,Defend,Partial,Yes,96.2
5221,8.16,7.9,3918,4.41,3.58,7.63,8.68,9.42,628,6.56,8.64,4595,10.6,10.08,5.14,4.25,0.58,0.12,0.804,1.094,1.173,2.404,2.816,0.674,0.49,0.062,Storm,Excellent,Morning,Defend,Attack,None,Yes,98.4
9926,8.04,1.53,4370,4.14,5.17,4.7,5.59,5.77,14860,5.56,3.05,6011,3.04,7.62,6.96,7.48,9.86,1.497,0.692,1.993,1.376,0.734,1.474,1.481,1.338,1.709,Cloudy,Moderate,Morning,Defend,Attack,None,Yes,5.4
8589,4.2,8.56,2009,6.89,8.87,8.93,3.96,6.03,10832,3.91,11.6,2774,6.6,11.05,8.29,7.02,1.72,1.261,0.931,1.355,1.381,0.958,1.246,0.928,1.773,0.285,Clear,Good,Morning,Attack,Defend,None,Yes,84.8
2481,6.17,9.48,2606,2.18,5.64,1.84,7.95,9.36,14548,1.43,4.12,328,10.48,1.53,10.46,10.0,2.39,5.864,0.232,0.435,0.126,4.807,0.271,5.685,1.258,0.255,Cloudy,Low,Dusk,Attack,Defend,None,Yes,53.4
9341,8.5,7.09,4772,8.38,6.87,2.29,3.89,7.3,1484,2.71,0.96,6952,1.21,3.44,2.17,7.36,11.21,0.159,0.319,0.135,1.457,0.144,0.501,0.948,1.892,1.536,Clear,Moderate,Morning,Attack,Attack,None,Yes,99.0
1605,7.19,2.92,2724,4.33,4.83,9.59,2.33,8.44,10476,7.01,0.89,5347,9.17,6.02,4.11,10.67,10.25,6.527,0.975,0.305,1.963,2.118,1.246,0.429,4.579,1.214,Clear,Excellent,Night,Attack,Attack,None,Yes,4.9
8266,1.19,4.24,4976,6.67,8.83,6.1,8.51,7.93,11223,8.88,10.34,1207,2.03,2.07,0.88,10.09,11.37,1.358,7.462,2.439,0.243,0.304,0.234,0.144,1.186,1.434,Fog,Moderate,Night,Attack,Attack,None,Yes,17.9
4116,4.03,5.3,796,5.49,6.96,2.44,4.7,6.51,1157,0.92,1.3,4499,3.12,7.71,8.14,5.41,10.43,0.281,0.228,0.245,5.652,0.568,1.108,3.336,1.151,1.602,Cloudy,Excellent,Afternoon,Attack,Defend,Full Ambush,Yes,95.2
8841,2.3,6.44,4325,5.67,1.82,9.54,6.14,7.2,1154,4.86,10.02,6622,4.59,10.08,0.76,7.06,10.49,0.131,2.113,1.556,1.531,0.81,5.538,0.08,1.15,1.457,Fog,Excellent,Dusk,Defend,Attack,None,Yes,94.9
8747,3.1,7.02,2536,7.64,5.3,9.77,9.27,6.05,11482,2.41,2.23,6293,3.9,10.27,1.03,9.97,3.2,1.313,0.777,0.318,2.481,0.51,1.938,0.105,1.076,0.529,Cloudy,Excellent,Afternoon,Attack,Attack,None,Yes,98.1
8156,9.15,5.99,211,6.64,8.45,8.93,2.22,4.2,12006,7.42,3.68,6583,4.79,3.96,7.38,10.82,9.54,1.472,0.811,0.614,31.199,0.721,0.469,0.826,4.874,2.271,Rain,Moderate,Night,Defend,Defend,Partial,Yes,1.0
8005,1.33,4.16,4864,3.25,7.6,3.15,6.01,3.57,13671,10.44,11.78,814,8.5,2.23,2.73,1.52,5.01,1.708,7.85,2.832,0.167,2.615,0.293,0.867,0.253,1.403,Rain,Low,Morning,Attack,Attack,None,Yes,2.1
3394,2.98,9.02,4829,1.67,9.15,3.51,6.03,2.58,11626,11.19,8.84,5986,3.3,9.45,8.07,9.8,10.88,3.425,3.755,0.98,1.24,1.976,1.033,2.299,1.625,4.217,Clear,Good,Night,Attack,Attack,None,Yes,2.5
1269,3.79,1.73,1978,8.56,3.05,4.66,8.76,4.19,3757,10.68,2.18,6245,7.55,4.58,4.6,6.69,6.04,2.961,2.818,1.26,3.157,0.882,1.502,0.987,0.764,1.442,Fog,Good,Dusk,Attack,Attack,Partial,Yes,3.5
4328,6.55,5.2,4775,8.96,9.79,6.21,4.07,6.19,14537,10.53,3.61,1307,7.34,8.02,3.48,7.55,9.69,3.359,1.608,0.694,0.274,0.819,0.819,0.56,1.855,1.565,Clear,Excellent,Afternoon,Defend,Defend,Partial,Yes,76.7
2148,5.81,7.98,791,2.48,3.57,9.93,4.61,6.29,4155,7.41,5.97,4967,3.29,1.41,9.25,4.94,11.68,1.934,1.275,0.748,6.279,1.327,0.395,0.932,1.072,1.857,Clear,Low,Midday,Defend,Defend,Partial,No,2.6
7102,2.96,1.55,3433,3.79,1.45,9.61,5.67,7.15,10963,3.29,10.68,4864,1.42,6.13,9.03,1.34,11.21,1.544,1.111,6.89,1.417,0.375,4.228,0.94,0.236,1.568,Rain,Moderate,Night,Defend,Attack,Full Ambush,Yes,45.7
3788,2.48,7.35,1040,3.54,5.46,9.29,2.5,8.91,8035,9.09,8.68,4836,3.39,3.94,1.2,11.37,3.37,2.121,3.665,1.181,4.65,0.958,0.722,0.129,4.548,0.378,Clear,Excellent,Dusk,Attack,Defend,None,Yes,14.3
9768,3.13,8.38,1309,9.44,1.99,1.8,5.24,6.87,2010,8.83,8.49,4030,7.97,8.3,8.83,11.27,6.88,0.206,2.821,1.013,3.079,0.844,4.171,4.906,2.151,1.001,Cloudy,Excellent,Dawn,Attack,Attack,Full Ambush,No,76.0
6589,5.52,6.95,3919,2.84,7.13,7.81,4.92,2.54,13922,2.42,4.64,1705,3.43,7.53,11.38,2.76,4.27,2.113,0.438,0.668,0.435,1.208,1.056,1.457,0.561,1.681,Clear,Good,Dawn,Defend,Attack,None,No,39.0
8314,3.44,1.12,1949,2.5,9.11,8.89,2.78,1.23,8901,2.74,8.02,797,2.95,5.72,5.95,4.94,6.12,1.071,0.797,7.161,0.409,1.18,0.628,0.669,1.777,4.976,Rain,Good,Dusk,Attack,Defend,None,No,10.2
1759,9.53,2.62,135,2.64,9.29,4.0,8.5,2.77,1559,1.76,2.49,1758,11.27,11.23,6.62,7.31,1.3,0.886,0.185,0.95,13.022,4.269,1.209,1.655,0.86,0.469,Cloudy,Low,Afternoon,Attack,Defend,None,No,26.3
8689,5.17,4.08,2130,7.57,6.46,2.98,4.88,9.17,5874,6.23,7.05,6405,11.52,6.77,4.39,6.96,5.46,0.676,1.205,1.728,3.007,1.522,1.048,1.473,1.426,0.595,Cloudy,Excellent,Afternoon,Attack,Defend,Partial,No,52.2
9266,1.53,3.1,1218,8.99,5.82,7.74,3.75,6.11,11522,4.2,6.94,1619,5.09,0.66,9.29,1.92,7.15,1.243,2.745,2.239,1.329,0.566,0.113,1.2,0.512,1.17,Rain,Low,Midday,Defend,Defend,None,No,1.0
5127,7.56,9.66,3448,4.54,9.95,1.82,2.17,8.64,9353,10.85,8.41,3051,9.44,6.53,9.29,0.63,8.07,1.824,1.435,0.871,0.885,2.079,0.656,5.104,0.29,0.934,Cloudy,Very Low,Night,Defend,Defend,Partial,No,4.1
6259,3.96,6.86,1053,2.22,6.21,9.47,1.81,3.11,3508,0.92,3.29,3114,1.33,1.2,10.75,11.77,6.65,0.56,0.232,0.48,2.957,0.599,0.193,1.135,6.503,2.138,Clear,Good,Morning,Attack,Attack,Full Ambush,No,86.6
7766,6.88,3.67,4227,6.27,9.35,2.4,9.64,7.39,8627,4.23,1.84,6474,10.9,11.55,8.82,11.81,0.65,1.111,0.615,0.501,1.532,1.738,1.235,3.675,1.225,0.088,Fog,Good,Dusk,Defend,Attack,None,No,29.6
2161,3.52,9.37,1409,2.89,9.25,5.12,9.96,7.59,4771,10.57,11.62,849,4.48,9.03,11.76,6.84,5.18,2.208,3.003,1.24,0.603,1.55,0.976,2.297,0.687,0.682,Cloudy,Good,Dawn,Defend,Defend,None,Yes,4.4
5274,6.14,7.67,2026,1.58,3.61,9.85,9.08,8.29,8004,11.99,2.26,3376,9.31,0.59,11.66,5.58,6.99,1.518,1.953,0.295,1.666,5.892,0.163,1.184,0.615,0.843,Cloudy,Excellent,Morning,Attack,Defend,Full Ambush,Yes,51.6
4287,7.95,3.56,1560,8.98,1.12,9.89,5.13,5.82,4906,8.81,4.38,5676,8.04,6.11,5.2,11.52,11.21,1.144,1.108,1.23,3.638,0.895,5.455,0.526,2.246,1.926,Storm,Good,Night,Defend,Defend,Partial,Yes,21.0
1891,9.35,4.41,3255,8.84,4.95,7.98,8.27,8.14,7545,10.86,10.52,479,5.13,11.35,8.8,5.91,11.25,3.99,1.161,2.385,0.147,0.58,2.293,1.103,0.715,1.382,Clear,Low,Midday,Defend,Attack,None,Yes,28.5
3992,3.35,2.79,596,9.78,8.75,8.55,8.51,9.42,12664,0.69,7.33,5233,1.38,9.68,0.71,5.93,2.0,3.172,0.206,2.627,8.78,0.141,1.106,0.083,0.697,0.212,Clear,Excellent,Afternoon,Attack,Defend,None,No,99.0
1148,4.01,9.74,2443,5.27,8.53,9.7,3.7,9.62,3338,9.38,2.98,704,7.58,3.64,4.94,1.91,7.22,2.908,2.339,0.306,0.288,1.438,0.427,0.509,0.516,0.751,Rain,Low,Midday,Attack,Attack,Full Ambush,No,80.3
745,5.18,5.66,1739,3.65,6.43,9.35,6.27,2.13,226,5.81,6.02,3194,1.33,8.28,5.2,4.7,5.03,0.303,1.122,1.064,1.837,0.364,1.288,0.556,0.75,2.362,Clear,Moderate,Afternoon,Defend,Defend,Partial,No,94.1
1784,9.34,9.06,4432,7.93,2.41,6.6,9.61,6.62,2494,8.44,10.17,1148,11.53,9.33,10.06,7.95,9.56,1.398,0.904,1.123,0.259,1.454,3.871,1.524,0.827,1.444,Fog,Good,Dawn,Defend,Defend,None,Yes,73.8
9650,9.11,4.12,460,2.62,1.97,7.61,3.52,2.02,12659,5.44,11.88,2759,5.43,7.96,3.64,8.9,11.3,1.312,0.597,2.883,5.998,2.073,4.041,0.478,2.528,5.594,Fog,Moderate,Morning,Attack,Attack,Partial,No,1.0
5721,1.81,8.75,4166,3.19,9.59,6.34,6.97,9.3,6343,7.05,7.9,309,3.85,10.81,2.96,11.95,7.0,1.109,3.895,0.903,0.074,1.207,1.127,0.467,1.714,0.753,Clear,Moderate,Night,Defend,Attack,None,Yes,75.0
9675,2.19,1.48,922,3.3,4.79,5.56,6.96,9.6,11148,3.49,3.42,5903,2.9,3.19,5.82,9.59,8.24,1.152,1.594,2.311,6.402,0.879,0.666,1.047,1.378,0.858,Storm,Good,Morning,Defend,Defend,None,No,1.1
4609,5.46,9.84,534,9.56,6.83,8.93,5.07,5.5,655,7.1,9.84,980,1.36,9.09,3.11,8.33,11.75,0.142,1.3,1.0,1.835,0.142,1.331,0.348,1.643,2.136,Rain,Excellent,Morning,Attack,Defend,Partial,Yes,99.0
3462,1.96,9.21,1091,7.57,9.15,7.64,5.41,9.64,2366,3.84,9.8,1353,8.64,7.44,2.52,2.59,7.54,0.683,1.959,1.064,1.24,1.141,0.813,0.33,0.479,0.782,Clear,Low,Afternoon,Defend,Defend,None,No,71.6
5308,4.11,4.27,603,2.2,8.83,8.74,5.11,7.9,8620,3.72,10.73,3235,11.89,11.61,5.95,4.64,9.26,1.624,0.905,2.513,5.365,5.405,1.315,0.681,0.908,1.172,Storm,Good,Dusk,Attack,Defend,None,Yes,1.0
4675,2.34,7.97,2653,1.84,6.1,1.86,5.69,7.26,10860,4.26,2.07,185,5.78,8.37,3.63,8.85,5.75,2.323,1.821,0.26,0.07,3.141,1.372,1.952,1.555,0.792,Clear,Good,Morning,Defend,Attack,None,Yes,68.0
1504,6.72,7.77,4942,8.59,5.39,6.19,2.34,6.23,11861,2.81,4.7,6451,8.6,5.48,1.9,5.97,7.86,7.886,0.418,0.605,1.305,1.001,1.017,0.307,2.551,1.262,Clear,Very Low,Night,Defend,Attack,None,No,2.7
6588,9.55,9.11,268,8.22,7.62,3.97,8.15,4.66,9717,3.06,3.19,2924,6.07,1.84,3.44,9.27,10.43,1.475,0.32,0.35,10.91,0.738,0.241,0.866,1.137,2.238,Clear,Very Low,Dawn,Attack,Attack,None,No,1.0
2552,9.97,3.77,2360,7.04,4.15,5.62,6.95,9.67,11399,11.21,2.99,3732,5.15,7.82,9.1,8.11,10.4,4.467,1.124,0.793,1.581,0.732,1.884,1.619,1.167,1.075,Rain,Excellent,Afternoon,Defend,Defend,None,No,6.5
6386,4.38,5.19,1992,2.76,6.63,6.52,9.76,2.77,2653,5.73,4.7,6093,4.67,11.52,1.75,5.86,7.17,0.415,1.308,0.906,3.059,1.692,1.738,0.268,0.6,2.588,Fog,Good,Midday,Attack,Defend,None,No,80.3
6677,6.39,8.78,1764,5.32,1.21,8.61,3.21,8.22,9941,7.56,1.05,4054,10.79,4.32,1.6,4.35,11.87,1.489,1.183,0.12,2.298,2.028,3.57,0.186,1.355,1.444,Clear,Low,Morning,Attack,Defend,None,No,92.0
1944,8.71,8.01,1726,6.42,8.42,1.29,2.31,4.31,6494,7.08,10.25,604,9.24,8.06,5.2,2.34,5.53,3.341,0.813,1.28,0.35,1.439,0.957,4.031,1.013,1.283,Cloudy,Moderate,Morning,Attack,Attack,None,Yes,10.5
1083,2.06,4.54,4486,9.39,9.98,2.48,4.08,7.78,13740,3.55,10.3,5632,10.38,9.54,2.37,5.57,3.98,12.687,1.723,2.269,1.255,1.105,0.956,0.956,1.365,0.512,Clear,Good,Dusk,Attack,Defend,Full Ambush,Yes,8.1
7917,7.21,8.61,193,2.52,9.59,9.29,5.59,2.47,9306,0.5,11.35,6416,1.61,10.57,4.95,8.25,5.71,1.175,0.069,1.318,33.244,0.639,1.102,0.533,1.476,2.312,Cloudy,Good,Dawn,Attack,Defend,Partial,No,57.0
4868,4.68,1.42,3897,5.64,4.24,9.71,2.85,4.36,8217,1.7,1.31,5667,4.66,9.3,11.03,1.33,6.28,1.688,0.363,0.923,1.454,0.826,2.193,1.136,0.467,1.44,Rain,Low,Night,Defend,Attack,Partial,No,39.8
1053,2.86,8.04,1339,2.42,5.78,1.5,5.15,9.52,8758,10.05,7.07,1371,2.9,5.27,2.2,4.15,11.05,8.317,3.514,0.879,1.024,1.198,0.912,1.467,0.806,1.161,Cloudy,Very Low,Dusk,Attack,Defend,None,Yes,1.6
9951,4.62,2.86,1978,4.99,3.13,3.99,6.78,6.02,12504,1.76,0.57,3394,2.47,0.6,8.76,2.05,1.2,1.257,0.381,0.199,1.716,0.495,0.192,2.195,0.302,0.199,Clear,Good,Midday,Defend,Attack,Full Ambush,Yes,98.6
1049,1.68,3.58,2159,2.8,3.73,1.09,1.51,5.42,367,2.88,7.28,2131,10.64,7.28,1.38,3.86,6.37,0.35,1.714,2.034,0.987,3.8,1.952,1.266,2.556,1.175,Clear,Good,Midday,Defend,Defend,None,No,28.4
7103,7.26,5.44,1593,8.53,5.12,7.82,7.82,7.77,12932,11.0,1.62,4206,10.72,6.85,9.44,9.78,2.21,1.821,1.515,0.298,2.64,1.257,1.338,1.207,1.251,0.284,Fog,Good,Midday,Attack,Defend,Full Ambush,Yes,88.7
9845,3.27,5.05,558,3.29,7.72,7.14,9.46,4.75,632,9.79,4.94,5869,7.08,5.36,11.25,5.05,1.93,0.064,2.994,0.978,10.518,2.152,0.694,1.576,0.534,0.406,Fog,Low,Dawn,Attack,Defend,None,No,65.1
2772,3.8,5.69,660,4.75,1.16,6.08,3.41,5.44,8823,1.11,4.22,2831,3.48,7.79,9.45,10.53,10.77,3.183,0.292,0.742,4.289,0.733,6.716,1.554,3.088,1.98,Rain,Moderate,Dawn,Defend,Attack,None,No,1.0
1851,2.09,5.9,1561,4.67,4.54,7.22,7.99,6.05,7638,7.9,4.3,4167,11.71,0.98,10.64,8.92,6.07,4.126,3.78,0.729,2.669,2.507,0.216,1.474,1.116,1.003,Cloudy,Good,Midday,Defend,Defend,None,Yes,1.0
1653,8.78,3.98,4127,8.8,6.01,5.84,4.76,9.91,5681,6.43,2.71,121,1.76,10.95,9.03,4.72,1.22,3.437,0.732,0.681,0.029,0.2,1.822,1.546,0.992,0.123,Clear,Excellent,Morning,Defend,Defend,Partial,No,99.0
3381,5.44,2.58,760,7.82,2.94,3.15,6.98,8.25,2105,4.7,1.7,2488,9.43,4.0,3.66,2.36,5.79,0.623,0.864,0.659,3.274,1.206,1.361,1.162,0.338,0.702,Fog,Good,Dusk,Attack,Attack,Partial,No,82.4
1460,6.15,7.92,3739,1.52,1.71,7.79,7.69,1.36,2036,6.22,0.69,4366,4.28,1.9,3.14,0.52,8.18,1.395,1.011,0.087,1.168,2.816,1.111,0.403,0.068,6.015,Cloudy,Good,Morning,Defend,Attack,None,No,78.6
7076,6.12,4.6,1515,1.6,5.86,8.05,3.65,8.05,11184,2.24,9.14,6934,5.13,2.76,10.85,5.39,1.86,1.581,0.366,1.987,4.577,3.206,0.471,1.348,1.477,0.231,Fog,Very Low,Midday,Attack,Attack,Full Ambush,Yes,13.7
1092,4.69,5.55,4429,5.96,6.74,8.69,8.09,5.53,1880,11.48,11.04,1983,9.71,7.37,0.86,6.29,5.04,1.722,2.448,1.989,0.448,1.629,1.093,0.099,0.778,0.911,Clear,Very Low,Night,Defend,Attack,Partial,No,33.1
5340,2.73,6.8,2199,4.85,6.77,9.59,1.95,3.08,10371,2.47,10.79,1264,0.92,9.45,6.71,5.65,11.91,1.942,0.905,1.587,0.575,0.19,1.396,0.7,2.897,3.867,Rain,Good,Night,Attack,Defend,None,Yes,53.0
9969,7.71,9.19,941,3.48,4.21,7.73,9.88,8.68,14857,2.64,7.78,6275,5.89,2.3,4.37,4.72,10.03,1.49,0.342,0.847,6.668,1.693,0.546,0.565,0.478,1.156,Rain,Moderate,Dusk,Defend,Defend,Full Ambush,No,43.1
